title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
"Intensified shelling in east Ukraine kills four civilians, soldier | Reuters",,reuters.com,2015-29,2015-07-19,2015-07,19 Jul 15 00:16 UTC,en,1,neutral,41,17,58,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.reuters.com/article/2015/07/19/us-ukraine-crisis-violence-idUSKCN0PS0CK20150719,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,inna1025
"Intensified shelling in east Ukraine kills four civilians, soldier - The Globe",,theglobeandmail.com,2015-29,2015-07-19,2015-07,19 Jul 15 00:37 UTC,en,1,neutral,2,5,7,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.theglobeandmail.com/news/world/intensified-shelling-in-east-ukraine-kills-four-civilians-soldier/article25583007/,0,0,0,0,0,1,1,0,0,Toronto,Canada,0,,inna1025
"Ukraine, rebels trade blame over shelling of central Donetsk",,ca.reuters.com,2015-29,2015-07-19,2015-07,19 Jul 15 00:56 UTC,en,1,neutral,0,1,1,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://ca.reuters.com/article/topNews/idCAKCN0PT0CH20150719,0,0,0,0,0,1,1,0,0,Calgary,Canada,0,,boyaryntseva
Ukraine and Iran: Leaving a Legacy can be Leaders Labor Lost!,,opednews.com,2015-29,2015-07-19,2015-07,19 Jul 15 01:00 UTC,en,1,not determined,1,7,8,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.opednews.com/articles/Ukraine-and-Iran-Leaving-by-Eugene-Elander-Agreement_Decisions_Hubris_Hubris-150719-886.html,0,0,0,0,0,1,0,0,0,Philadelphia,USA,0,,
"Intensified Shelling In East Ukraine Kills Four Civilians, Soldier",,ibtimes.com,2015-29,2015-07-19,2015-07,19 Jul 15 01:10 UTC,en,1,neutral,1,1,2,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.ibtimes.com/intensified-shelling-east-ukraine-kills-four-civilians-soldier-2014832?rel=latest3,0,0,0,0,0,1,1,0,0,New York,USA,0,,boyaryntseva
Downing of Malaysian Airlines Flight MH-17: Ukrainians Mark 1st Anniversary,,pppfocus.com,2015-29,2015-07-19,2015-07,19 Jul 15 01:17 UTC,en,1,neutral,0,0,0,MH-17 crash,MH-17 crash,Катастрофа рейсу МН-17,http://www.pppfocus.com/downing-of-malaysian-airlines-flight-mh-17-ukrainians-mark-1st-anniversary-3431/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,inna1025
US wedge between China and Russia a critical issue: US expert,,wantchinatimes.com,2015-29,2015-07-19,2015-07,19 Jul 15 01:20 UTC,en,1,neutral,0,2,2,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20150719000014&cid=1101&MainCatID=0,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,inna1025
"Shelling in East Ukraine Kills 4 Civilians, Soldier. Las Vegas Blog",,lasvegasnvblog.com,2015-29,2015-07-19,2015-07,19 Jul 15 01:37 UTC,en,1,neutral,0,2,2,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.lasvegasnvblog.com/2015/07/shelling-in-east-ukraine-kills-4-civilians-soldier/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,boyaryntseva
Comparing Juventus' 2015 Summer Transfer Moves to Their Serie A Rivals,,bleacherreport.com,2015-29,2015-07-19,2015-07,19 Jul 15 01:43 UTC,en,1,not determined,128,80,208,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://bleacherreport.com/articles/2525810-comparing-juventus-2015-summer-transfer-moves-to-their-serie-a-rivals,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,
"Rebel shelling in east Ukraine kills three civilians, soldier - Ukraine military",,trust.org,2015-29,2015-07-19,2015-07,19 Jul 15 01:47 UTC,en,1,neutral,1,0,1,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.trust.org/item/20150718112451-hdp1e/?source=fiOtherNews3,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,boyaryntseva
Ukraine rebels say their small weapons pullback is ...,,usnews.com,2015-29,2015-07-19,2015-07,19 Jul 15 01:51 UTC,en,1,neutral,1,22,23,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.usnews.com/news/world/articles/2015/07/19/ukraine-rebels-say-their-small-weapons-pullback-is-beginning,0,0,0,0,0,1,1,0,0,"Washington, DC",USA,0,,nata.smyhora
"Rebel shelling in east Ukraine kills three civilians, soldier - Ukraine military",,one.trust.org,2015-29,2015-07-19,2015-07,19 Jul 15 02:01 UTC,en,1,neutral,1,0,1,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://one.trust.org/item/20150718112451-hdp1e/?source=jtOtherNews2,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,boyaryntseva
"Rebel shelling in east Ukraine kills three civilians, soldier - Ukraine military",,trust.org,2015-29,2015-07-19,2015-07,19 Jul 15 02:02 UTC,en,1,neutral,1,0,1,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.trust.org/item/20150718112451-hdp1e/?source=jtOtherNews2,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,boyaryntseva
US wedge between China and Russia a critical issue: US expert,,wantchinatimes.com,2015-29,2015-07-19,2015-07,19 Jul 15 02:05 UTC,en,1,neutral,0,1,1,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20150719000014&cid=1101,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,inna1025
"Russia's Lavrov talks with Ukraine, US, German counterparts | The Times of Israel",,timesofisrael.com,2015-29,2015-07-19,2015-07,19 Jul 15 02:13 UTC,en,1,negative,5,46,51,Peace talks,Peace talks,Мирні переговори,http://www.timesofisrael.com/russias-lavrov-talks-with-ukraine-us-german-counterparts/,0,0,0,0,0,1,1,0,0,Jerusalem,Israel,0,"Article one-sided, Ukraine is reflected in a slightly derogatory light",nata.smyhora
"Intensified Shelling in East Ukraine Kills Four Civilians, Soldier - VOA",,voanews.com,2015-29,2015-07-19,2015-07,19 Jul 15 02:15 UTC,en,1,neutral,21,53,74,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.voanews.com/content/shelling-east-ukraine-kills-five/2869266.html,0,0,0,0,0,1,1,0,0,"Washington, DC",USA,0,,nata.smyhora
"Intensified shelling in east Ukraine kills four civilians, soldier | Reuters",,in.reuters.com,2015-29,2015-07-19,2015-07,19 Jul 15 02:29 UTC,en,1,neutral,0,0,0,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://in.reuters.com/article/2015/07/19/ukraine-crisis-violence-idINKCN0PS0CM20150719,0,0,0,0,0,1,1,0,0,London,United Kingdom,0,,inna1025
"Ukraine, Rebels Blame Each Other For Shelling Leaving 4 Dead | NBC New York",,nbcnewyork.com,2015-29,2015-07-19,2015-07,19 Jul 15 02:31 UTC,en,1,neutral,0,1,1,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.nbcnewyork.com/news/national-international/Ukraine-Rebels-Blame-Each-Other-For-Shelling-Leaving-4-Dead-317081691.html,0,0,0,0,0,1,1,0,0,New York,USA,0,,inna1025
"Intensified Shelling in East Ukraine Kills Four Civilians, Soldier",,tolerance.ca,2015-29,2015-07-19,2015-07,19 Jul 15 02:33 UTC,en,1,neutral,0,0,0,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.tolerance.ca/Article.aspx?ID=270222&L=en,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,inna1025
"India, Russia sign customs pact to boost trade",,economictimes.indiatimes.com,2015-29,2015-07-19,2015-07,19 Jul 15 02:56 UTC,en,1,not determined,17,10,27,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://economictimes.indiatimes.com/news/economy/foreign-trade/india-russia-sign-customs-pact-to-boost-trade/articleshow/48132663.cms,0,0,0,0,0,1,0,0,0,Mumbai,India,0,,
"Intensified Shelling In East Ukraine Kills Four Civilians, Soldier",,malaysiandigest.com,2015-29,2015-07-19,2015-07,19 Jul 15 03:44 UTC,en,1,neutral,0,1,1,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.malaysiandigest.com/world/562060-intensified-shelling-in-east-ukraine-kills-four-civilians-soldier.html,0,0,0,0,0,1,1,0,0,Kuala Lumpur,Malaysia,0,,boyaryntseva
"Ukraine shelling kills four civilians, soldier",,maltatoday.com.mt,2015-29,2015-07-19,2015-07,19 Jul 15 04:18 UTC,en,1,neutral,0,5,5,Fighting in Eastern Ukraine,Fighting in Eastern Ukraine,Бойові дії на Сході України,http://www.maltatoday.com.mt/news/world/55265/ukraine_shelling_kills_four_civilians_soldier,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,boyaryntseva
Robin van Persie: No honest chance of Man United role under Louis van Gaal,,espnfc.us,2015-29,2015-07-19,2015-07,19 Jul 15 04:21 UTC,en,1,neutral,10608,5,10613,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.espnfc.us/barclays-premier-league/story/2527967/robin-van-persie-no-honest-man-united-chance-with-van-gaal,0,0,0,0,0,1,0,0,0,Unknown,Unknown,0,,boyaryntseva
Robin van Persie: No honest chance of Man United role under Louis van Gaal,,espnfc.com,2015-29,2015-07-19,2015-07,19 Jul 15 04:21 UTC,en,1,not determined,92808,22,92830,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.espnfc.com/barclays-premier-league/story/2527967/robin-van-persie-no-honest-man-united-chance-with-van-gaal,0,0,0,0,0,1,0,0,0,Bristol,USA,0,,
