title,author,publisher_url,pub_week,pub_day,pub_month,pub_daytime,language,language_id,sentiment,social_fb,social_tw,impact_score,topic_name,topic_name_en,topic_name_ua,page_url,is_today_utc,is_lastnewscycle_utc,is_last13weeks_utc,pubday_pages,pubday_annotations,is_main_topic,is_about_ukraine,is_biased_publisher,is_pro_putin,hq_city,hq_country,is_ukr_press,comments,editor
Matthysse Continues To Prepare For Postol Title Clash,,boxingscene.com,2015-27,2015-07-06,2015-07,06 Jul 15 00:46 UTC,en,1,neutral,0,27,27,Sport,Sport,Спорт,http://www.boxingscene.com/matthysse-continues-prepare-postol-title-clash--93155,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,georgiy.mosiolik
Russia's Nuclear Bluster: How Should America Respond?,,nationalinterest.org,2015-27,2015-07-06,2015-07,06 Jul 15 01:00 UTC,en,1,not determined,2878,56,2934,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.nationalinterest.org/feature/russias-nuclear-bluster-how-should-america-respond-13261,0,0,0,0,0,1,0,0,0,"Washington, DC",USA,0,,
"Why EU has threat from Greece, Russia, UK and Mediterranean migration",,economictimes.indiatimes.com,2015-27,2015-07-06,2015-07,06 Jul 15 01:46 UTC,en,1,neutral,12,6,18,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://economictimes.indiatimes.com/news/international/business/why-eu-has-threat-from-greece-russia-uk-and-mediterranean-migration/articleshow/47952803.cms,0,0,0,0,0,1,0,0,0,Mumbai,India,0,,georgiy.mosiolik
Video shows car roll in horryfing highway crash,,au.news.yahoo.com,2015-27,2015-07-06,2015-07,06 Jul 15 01:56 UTC,en,1,not determined,152,0,152,Other,Other,Інші теми  (аналітичні та репортажні),https://au.news.yahoo.com/world/a/28680486/video-shows-car-roll-in-horryfing-highway-crash/,0,0,0,0,0,1,1,0,0,Sydney,Australia,0,,
July 4 Call to Obama: Putin Encourages American Tolerance Toward Moscow,,breitbart.com,2015-27,2015-07-06,2015-07,06 Jul 15 02:02 UTC,en,1,neutral,9,8,17,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://www.breitbart.com/national-security/2015/07/05/july-4-call-to-obama-putin-encourages-american-tolerance-toward-moscow/,0,0,0,0,0,1,0,0,0,Californoa,USA,0,,georgiy.mosiolik
China's influence grows as Russian crisis rocks Central Asia,,nation.com.pk,2015-27,2015-07-06,2015-07,06 Jul 15 02:11 UTC,en,1,not determined,0,1,1,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://nation.com.pk/business/06-Jul-2015/china-s-influence-grows-as-russian-crisis-rocks-central-asia,0,0,0,0,0,1,0,0,0,Lahore,Pakistan,0,,
Economic Losers,,nation.com.pk,2015-27,2015-07-06,2015-07,06 Jul 15 02:11 UTC,en,1,not determined,0,2,2,Not related to Ukraine,Not related to Ukraine,Не має відношення до України,http://nation.com.pk/editorials/06-Jul-2015/economic-losers,0,0,0,0,0,1,0,0,0,Lahore,Pakistan,0,,
Jeff Horn works out at Acacia Ridge. Picture: Peter Cronin Source: News Corp,,couriermail.com.au,2015-27,2015-07-06,2015-07,06 Jul 15 03:19 UTC,en,1,not determined,71,3,74,Sport,Sport,Спорт,http://www.couriermail.com.au/sport/boxing-mma/welterweight-jeff-horn-ready-to-take-on-viktor-plotnykov/story-fnii0bqi-1227430526736,0,0,0,0,0,1,1,0,0,Brisbane,Australia,0,,
Opinion: Basic Income strengthens Soft Power,,basicincome.org,2015-27,2015-07-06,2015-07,06 Jul 15 03:23 UTC,en,1,not determined,51,14,65,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://www.basicincome.org/news/2015/07/opinion-basic-income-strengthens-soft-power/,0,0,0,0,0,1,1,0,0,Unknown,Unknown,0,,
See Scenes of Daily Life in an Ukrainian City Marked by War,,time.com,2015-27,2015-07-06,2015-07,06 Jul 15 04:05 UTC,en,1,not determined,1090,163,1253,Global discussions about Ukraine,Global discussions about Ukraine,Загальні дискусії про Україну,http://time.com/3930217/ukraine-mariupol-jerome-sessini/,0,0,0,0,0,1,1,0,0,New York,USA,0,,
